x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
-0.0004910950652619301,-0.015843765751151408,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142,-0.01584376575115142
-0.0005599217355132878,-0.016918685690152993,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014,-0.016918685690153014
-0.0006357413569778934,-0.018028990710472797,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283,-0.01802899071047283
-0.000719012285049992,-0.01917469451910056,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616,-0.019174694519100616
-0.0008102074260887242,-0.020355811255589492,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575,-0.020355811255589575
-0.0009098142374181281,-0.02157235549180731,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436,-0.021572355491807436
-0.0010183347273271385,-0.022824342231678556,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874,-0.02282434223167874
-0.001136285455069585,-0.024111786910917997,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268,-0.024111786910918268
-0.0012641975308641975,-0.025434705396755228,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623,-0.025434705396755623
-0.0014026166158945992,-0.026793113987650115,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068,-0.02679311398765068
-0.0015521029223093097,-0.028187029412999158,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963,-0.028187029412999963
